question,answer,category,button_text,button_href
How do I register for the Congress?,Visit the website and navigate to the Registration section. Complete the registration form and proceed with payment via Mercado Pago (Argentina) or PayPal (international).,registration,Register Now,/en/register
What is the registration cost?,"$395 USD per person. Registration is open from 20 February 2026 until 31 March 2027. There is a cap of 75 delegates per region and 150 for the host region, with a total maximum of 600 attendees.",registration,,
Are there any discounts available?,"No, there is a single standard fee of $395 USD for all participants to ensure fairness and equality.",registration,,
What is the cancellation policy?,Up to 6 months before the congress (October 2026): 80% refund. Up to 4 months before (December 2026): 50% refund. Within 2 months of the congress (February 2027): no refund.,registration,,
Do I need to be a ranger to attend?,"No. The congress is open to conservation professionals, wildlife experts, researchers, policymakers, NGO representatives, and community members passionate about conservation.",general,,
How do I apply for a visa to Argentina?,Check your visa requirements through the Argentine visa portal. Many nationalities can obtain an electronic travel authorization (AVE) online.,general,,
What languages will be used at the Congress?,The primary language is English. Simultaneous translation to French and Spanish will be provided during plenary sessions. Volunteer translators may assist during workshops and field trips.,general,,
Is there funding available for speakers?,"No, there is no dedicated funding for speakers. However, Expressions of Interest forms are available for all delegates seeking funding support. If funding becomes available, it will be distributed fairly and equally, taking into consideration region, gender, Indigenous Peoples and Local Communities (IPLC), and whether the delegate is a speaker.",sponsorship,Submit EOI Form,https://forms.gle/MTJmr4A3Nogk8GhV8
Can my spouse or partner attend?,Yes. Spouses and partners pay the same $395 registration fee and take a registration spot.,registration,,
Where will accommodation be?,"We have partnered with the Amerian Portal del Iguazú Hotel, situated right next to the Iguazú Convention Centre where the congress will take place. Congress participants receive a 13% discount on the daily room rate. The standard rate is USD 130 + VAT per room per night, applicable to single or double rooms. Triple rooms are not available; however, an extra bed can be added at an additional cost of USD 60 + VAT per night. There are also numerous accommodation options available in Puerto Iguazú, ranging from backpacker to 5-star hotels, within walking distance from the Convention Centre.",accommodation,Book Accommodation,mailto:reservasiguazu@amerian.com
What activities are available for non-attending spouses?,"Puerto Iguazú and the surrounding area offer a fantastic range of activities and excursions. From visiting the world-famous Iguazú Falls to exploring bird parks, gemstone mines, and historic Jesuit missions, there is plenty to see and do. Check out our field trip options for ideas on what to explore during your stay.",general,View Field Trips,/en/program
Where can I find more information?,"Visit the WRC website, IRF website, and follow us on Facebook, Instagram, LinkedIn, and SIGUNARA social media channels.",general,,
Are there limitations to registrations?,"Yes. Maximum 600 total attendees, 75 per region, and 150 for the host region (Argentina). Registration is individual and personal, non-transferable.",registration,,
What payment methods are accepted?,Argentina: Mercado Pago (ARS) or bank transfer. International: PayPal (USD). We advise avoiding American Express and Mastercard due to high fees. Bank transfer is recommended for South American delegates.,payment,,
Can I volunteer at the Congress?,"Yes! We are accepting volunteers, especially multilingual individuals. Contact wrc@internationalrangers.org for more information.",general,Contact Us,mailto:wrc@internationalrangers.org
How does sponsorship work?,"Ranger sponsorship helps fund rangers from around the world to attend the congress. Sponsors contribute towards a ranger's registration ($395), travel (~$1,000), and accommodation (~$650). If funding becomes available, it is distributed fairly and equally, taking into consideration region, gender, Indigenous Peoples and Local Communities (IPLC), and whether the delegate is a speaker.",sponsorship,Sponsor a Ranger,https://forms.gle/bYpTj2FcLtTkxsPb9
Can my partner stay at the hotel without attending the congress?,Yes. Partners can book accommodation separately at the Amerian Portal del Iguazú Hotel by contacting reservasiguazu@amerian.com.,accommodation,,
Can my partner attend the congress with me?,Yes. Your partner pays the same $395 registration fee and can book accommodation together with you.,registration,,
Can I get a private room?,"Yes. The standard room rate at the Amerian Portal del Iguazú Hotel is USD 130 + VAT per room per night, applicable to single or double occupancy. Book directly at reservasiguazu@amerian.com.",accommodation,,
Can I attend without staying at the congress hotel?,"Yes. There are numerous accommodation options available in Puerto Iguazú, ranging from backpacker to 5-star hotels, within walking distance from the Convention Centre.",accommodation,,
Can I stay at alternative accommodation?,"Yes, alternative accommodation is available in Puerto Iguazú within walking distance from the Convention Centre. However, transport and meals would be at your own expense.",accommodation,,
Who is the IRF?,"The International Ranger Federation is a worldwide, non-profit membership-based organisation established in 1992, representing rangers across 50+ countries on 6 continents and 7 regions.",general,,
Who is SIGUNARA?,"The Syndicate of National Rangers of Argentina Republic (SIGUNARA), established in 1990, is Argentina's National Rangers union recognized by the National Government.",general,,
What is the best payment method?,We advise avoiding American Express and Mastercard due to high international fees. Bank transfer is recommended for South American delegates.,payment,,
Are donation coupons available?,Donation options are being finalized. Please check back for updates.,sponsorship,,
What is the World Ranger Congress?,"The WRC is an initiative of the International Ranger Federation, co-hosted with a local ranger association, held every 3-4 years in a different global region.",general,,
What are the congress details?,"The 11th IRF World Ranger Congress takes place in Puerto Iguazú, Misiones, Argentina from 19-23 April 2027, with up to 600 rangers and conservation professionals.",general,,
What is the congress theme?,"""Recognising Rangers: Advancing the profession to safeguard our future"" — focusing on improved working conditions, better equipment and training, and empowering rangers for biodiversity protection.",general,,
What are the congress objectives?,"Skills development, knowledge sharing, building partnerships, and finding strategic conservation ways through four key pillars: Ranger Recognition & 30x30, Ranger Experiences, Ranger Solutions, and the Ranger Declaration.",general,,
Is there an investment opportunity?,"Yes. Congress sponsorship tiers are available: Platinum, Gold, Silver, and Bronze. Download the sponsorship prospectus for full details.",sponsorship,Download Prospectus,https://tinyurl.com/3tpck2mu
How can I sponsor a ranger?,"Fill out the Sponsor a Ranger form to express your interest. The estimated total cost per ranger is approximately $2,045 (Registration $395, Travel ~$1,000, Accommodation ~$650). Every contribution makes a difference in supporting rangers from underrepresented regions.",sponsorship,Sponsor a Ranger,https://forms.gle/bYpTj2FcLtTkxsPb9
