question,answer,category,button_text,button_href
¿Cómo me registro para el Congreso?,Visite el sitio web y navegue a la sección de Registro. Complete el formulario de registro y proceda con el pago a través de Mercado Pago (Argentina) o PayPal (internacional).,registration,Registrarse,/es/register
¿Cuál es el costo de la inscripción?,"$395 USD por persona. La inscripción está abierta desde el 20 de febrero de 2026 hasta el 31 de marzo de 2027. Hay un límite de 75 delegados por región y 150 para la región anfitriona, con un máximo total de 600 asistentes.",registration,,
¿Hay descuentos disponibles?,"No, hay una tarifa estándar única de $395 USD para todos los participantes para garantizar la equidad e igualdad.",registration,,
¿Cuál es la política de cancelación?,Hasta 6 meses antes del congreso (octubre de 2026): reembolso del 80%. Hasta 4 meses antes (diciembre de 2026): reembolso del 50%. Dentro de los 2 meses previos al congreso (febrero de 2027): sin reembolso.,registration,,
¿Necesito ser guardaparque para asistir?,"No. El congreso está abierto a profesionales de la conservación, expertos en vida silvestre, investigadores, responsables de políticas, representantes de ONG y miembros de la comunidad apasionados por la conservación.",general,,
¿Cómo solicito una visa para Argentina?,Consulte los requisitos de visa a través del portal de visas argentino. Muchas nacionalidades pueden obtener una autorización electrónica de viaje (AVE) en línea.,general,,
¿Qué idiomas se utilizarán en el Congreso?,El idioma principal es el inglés. Se proporcionará traducción simultánea al francés y español durante las sesiones plenarias. Traductores voluntarios podrán asistir durante los talleres y las excursiones.,general,,
¿Hay financiamiento disponible para ponentes?,"No, no hay financiamiento dedicado para ponentes. Sin embargo, los formularios de Expresión de Interés están disponibles para todos los delegados que buscan apoyo financiero. Si se dispone de financiamiento, se distribuirá de manera justa y equitativa, teniendo en cuenta la región, el género, los Pueblos Indígenas y Comunidades Locales (IPLC) y si el delegado es ponente.",sponsorship,Enviar Formulario EOI,https://forms.gle/MGVH2c7QQtg9Cvtk9
¿Puede asistir mi cónyuge o pareja?,Sí. Los cónyuges y parejas pagan la misma tarifa de inscripción de $395 y ocupan un lugar de registro.,registration,,
¿Dónde será el alojamiento?,"Hemos establecido una alianza con el Hotel Amerian Portal del Iguazú, situado junto al Centro de Convenciones Iguazú donde se llevará a cabo el congreso. Los participantes del congreso reciben un 13% de descuento sobre la tarifa diaria. La tarifa estándar es de USD 130 + IVA por habitación por noche, aplicable a habitaciones individuales o dobles. Las habitaciones triples no están disponibles; sin embargo, se puede agregar una cama adicional por un costo de USD 60 + IVA por noche. También hay numerosas opciones de alojamiento disponibles en Puerto Iguazú, desde hostels hasta hoteles de 5 estrellas, a poca distancia a pie del Centro de Convenciones.",accommodation,Reservar Alojamiento,mailto:reservasiguazu@amerian.com
