question,answer,category,button_text,button_href
Comment puis-je m'inscrire au Congrès ?,Visitez le site web et accédez à la section Inscription. Remplissez le formulaire d'inscription et procédez au paiement via Mercado Pago (Argentine) ou PayPal (international).,registration,S'inscrire,/fr/register
Quel est le coût de l'inscription ?,"$395 USD par personne. Les inscriptions sont ouvertes du 20 février 2026 au 31 mars 2027. Il y a un plafond de 75 délégués par région et 150 pour la région hôte, avec un maximum total de 600 participants.",registration,,
Y a-t-il des réductions disponibles ?,"Non, il y a un tarif standard unique de $395 USD pour tous les participants afin de garantir l'équité et l'égalité.",registration,,
Quelle est la politique d'annulation ?,Jusqu'à 6 mois avant le congrès (octobre 2026) : remboursement de 80 %. Jusqu'à 4 mois avant (décembre 2026) : remboursement de 50 %. Dans les 2 mois précédant le congrès (février 2027) : aucun remboursement.,registration,,
Dois-je être garde forestier pour participer ?,"Non. Le congrès est ouvert aux professionnels de la conservation, aux experts de la faune, aux chercheurs, aux décideurs politiques, aux représentants d'ONG et aux membres de la communauté passionnés par la conservation.",general,,
Comment puis-je demander un visa pour l'Argentine ?,Vérifiez les conditions de visa via le portail des visas argentins. De nombreuses nationalités peuvent obtenir une autorisation électronique de voyage (AVE) en ligne.,general,,
Quelles langues seront utilisées au Congrès ?,La langue principale est l'anglais. Une traduction simultanée en français et en espagnol sera assurée lors des sessions plénières. Des traducteurs bénévoles pourront assister lors des ateliers et des excursions.,general,,
Y a-t-il un financement disponible pour les intervenants ?,"Non, il n'y a pas de financement dédié pour les intervenants. Cependant, des formulaires d'Expression d'Intérêt sont disponibles pour tous les délégués recherchant un soutien financier. Si un financement devient disponible, il sera distribué de manière juste et équitable, en tenant compte de la région, du genre, des Peuples Autochtones et Communautés Locales (IPLC) et du statut d'intervenant du délégué.",sponsorship,Soumettre le Formulaire EOI,https://forms.gle/FGjVWNEqAmNVs55g7
Mon conjoint ou partenaire peut-il/elle participer ?,Oui. Les conjoints et partenaires paient les mêmes frais d'inscription de $395 et occupent une place d'inscription.,registration,,
Où sera l'hébergement ?,"Nous avons établi un partenariat avec l'Hôtel Amerian Portal del Iguazú, situé juste à côté du Centre de Conventions Iguazú où se tiendra le congrès. Les participants au congrès bénéficient d'une réduction de 13 % sur le tarif journalier. Le tarif standard est de 130 USD + TVA par chambre par nuit, applicable aux chambres simples ou doubles. Les chambres triples ne sont pas disponibles ; cependant, un lit supplémentaire peut être ajouté pour un coût additionnel de 60 USD + TVA par nuit. Il existe également de nombreuses options d'hébergement disponibles à Puerto Iguazú, allant des auberges de jeunesse aux hôtels 5 étoiles, à distance de marche du Centre de Conventions.",accommodation,Réserver un Hébergement,mailto:reservasiguazu@amerian.com
Quelles activités sont disponibles pour les conjoints ne participant pas au congrès ?,"Puerto Iguazú et ses environs offrent une fantastique variété d'activités et d'excursions. De la visite des célèbres chutes d'Iguazú à l'exploration de parcs d'oiseaux, de mines de pierres précieuses et de missions jésuites historiques, il y a beaucoup à voir et à faire. Consultez nos options d'excursions pour des idées sur ce qu'il y a à explorer pendant votre séjour.",general,Voir les Excursions,/fr/program
Où puis-je trouver plus d'informations ?,"Visitez le site web du WRC, le site web de l'IRF, et suivez-nous sur Facebook, Instagram, LinkedIn et les réseaux sociaux de SIGUNARA.",general,,
Y a-t-il des limites aux inscriptions ?,"Oui. Maximum 600 participants au total, 75 par région et 150 pour la région hôte (Argentine). L'inscription est individuelle et personnelle, non transférable.",registration,,
Quels modes de paiement sont acceptés ?,Argentine : Mercado Pago (ARS) ou virement bancaire. International : PayPal (USD). Nous conseillons d'éviter American Express et Mastercard en raison des frais élevés. Le virement bancaire est recommandé pour les délégués sud-américains.,payment,,
Puis-je être bénévole au Congrès ?,"Oui ! Nous acceptons des bénévoles, en particulier les personnes multilingues. Contactez wrc@internationalrangers.org pour plus d'informations.",general,Contactez-nous,mailto:wrc@internationalrangers.org
Comment fonctionne le parrainage ?,"Le parrainage de gardes forestiers aide à financer la participation de gardes forestiers du monde entier au congrès. Les parrains contribuent à l'inscription ($395), au voyage (~$1,000) et à l'hébergement (~$650) d'un garde forestier. Si un financement devient disponible, il est distribué de manière juste et équitable, en tenant compte de la région, du genre, des Peuples Autochtones et Communautés Locales (IPLC) et du statut d'intervenant du délégué.",sponsorship,Parrainer un Garde Forestier,https://forms.gle/uUXRXC3qZE8A5QzT9
Mon partenaire peut-il/elle séjourner à l'hôtel sans participer au congrès ?,Oui. Les partenaires peuvent réserver un hébergement séparément à l'Hôtel Amerian Portal del Iguazú en contactant reservasiguazu@amerian.com.,accommodation,,
Mon partenaire peut-il/elle participer au congrès avec moi ?,Oui. Votre partenaire paie les mêmes frais d'inscription de $395 et peut réserver un hébergement avec vous.,registration,,
Puis-je obtenir une chambre individuelle ?,"Oui. Le tarif standard à l'Hôtel Amerian Portal del Iguazú est de 130 USD + TVA par chambre par nuit, applicable à l'occupation simple ou double. Réservez directement à reservasiguazu@amerian.com.",accommodation,,
Puis-je participer sans séjourner à l'hôtel du congrès ?,"Oui. Il existe de nombreuses options d'hébergement disponibles à Puerto Iguazú, allant des auberges de jeunesse aux hôtels 5 étoiles, à distance de marche du Centre de Conventions.",accommodation,,
Puis-je séjourner dans un hébergement alternatif ?,"Oui, un hébergement alternatif est disponible à Puerto Iguazú à distance de marche du Centre de Conventions. Cependant, le transport et les repas seront à votre charge.",accommodation,,
Qu'est-ce que l'IRF ?,"L'International Ranger Federation est une organisation mondiale à but non lucratif basée sur l'adhésion, créée en 1992, représentant des gardes forestiers dans plus de 50 pays sur 6 continents et 7 régions.",general,,
Qu'est-ce que SIGUNARA ?,"Le Syndicat des Gardes Forestiers Nationaux de la République Argentine (SIGUNARA), créé en 1990, est le syndicat des Gardes Forestiers Nationaux d'Argentine reconnu par le Gouvernement National.",general,,
Quel est le meilleur mode de paiement ?,Nous conseillons d'éviter American Express et Mastercard en raison des frais internationaux élevés. Le virement bancaire est recommandé pour les délégués sud-américains.,payment,,
Des coupons de don sont-ils disponibles ?,Les options de don sont en cours de finalisation. Veuillez revenir consulter pour les mises à jour.,sponsorship,,
Qu'est-ce que le Congrès Mondial des Gardes Forestiers ?,"Le WRC est une initiative de l'International Ranger Federation, co-organisé avec une association locale de gardes forestiers, qui se tient tous les 3-4 ans dans une région du monde différente.",general,,
Quels sont les détails du congrès ?,"Le 11e Congrès Mondial des Gardes Forestiers de l'IRF se déroule à Puerto Iguazú, Misiones, Argentine, du 19 au 23 avril 2027, avec jusqu'à 600 gardes forestiers et professionnels de la conservation.",general,,
Quel est le thème du congrès ?,"""Reconnaître les Gardes Forestiers : Faire progresser la profession pour protéger notre avenir"" — axé sur l'amélioration des conditions de travail, un meilleur équipement et une meilleure formation, et l'autonomisation des gardes forestiers pour la protection de la biodiversité.",general,,
Quels sont les objectifs du congrès ?,"Développement des compétences, partage des connaissances, création de partenariats et recherche de voies stratégiques de conservation à travers quatre piliers clés : Reconnaissance des Gardes Forestiers et 30x30, Expériences des Gardes Forestiers, Solutions des Gardes Forestiers et la Déclaration des Gardes Forestiers.",general,,
Y a-t-il une opportunité d'investissement ?,"Oui. Des niveaux de parrainage du congrès sont disponibles : Platine, Or, Argent et Bronze. Téléchargez le prospectus de parrainage pour tous les détails.",sponsorship,Télécharger le Prospectus,https://tinyurl.com/mr3em86r
